Number of Vertices, Number of Edges, Matrix & Array PQ(ns), List & Minimizing Heap PQ(ns)
6,20,8500,15400
6,20,6700,15000
6,20,7900,14700
7,20,6600,15900
7,20,6700,15500
7,20,7600,15300
7,20,7000,15100
8,20,6800,15600
8,20,8500,21400
8,20,6700,19500
9,20,8400,18700
9,20,8200,18300
10,20,7500,20600
10,20,12900,20400
10,20,8800,25200
11,20,11200,26000
11,20,8800,19700
12,20,8600,15100
13,20,9700,19200
13,20,12100,17700
14,20,9600,14800
14,20,10600,20600
15,20,9900,22200
16,20,15400,19300
16,20,12400,26300
17,20,12400,25200
18,20,10400,12500
19,20,11700,16500
20,20,9800,12800
20,20,13100,15500
